title,date,make,year,price,VIN,fuel,odometer,cylinders,paint color,title status,transmission,type,link
2006 Ford F150 4x4 Ext Cab 4dr.,2017-09-03 22:05,ford,2006,$7800,NOT INDICATED,gas,172000,8 cylinders,grey,clean,automatic,truck,https://sacramento.craigslist.org/cto/d/2006-ford-f150-4x4-ext-cab-4dr/6292211949.html
2003 TOYOTA COROLLA CE!!! LOW MILES,2017-09-03 22:05,toyota,2003,$4100,NOT INDICATED,gas,114000,4 cylinders,NOT INDICATED,rebuilt,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2003-toyota-corolla-ce-low/6281251679.html
1973 VW,2017-09-03 22:03,vw,1973,$4950,1132738643vw,gas,150,4 cylinders,blue,salvage,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1973-vw/6292211362.html
2004 Dodge Durango,2017-09-03 22:01,dodge,2004,$4300,NOT INDICATED,gas,158000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2004-dodge-durango/6292210199.html
1991 Honda Accord,2017-09-03 21:58,honda,1991,$2450,NOT INDICATED,gas,173300,4 cylinders,green,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/1991-honda-accord/6292209122.html
03 Nissan,2017-09-03 21:58,nissan,2003,$2000,NOT INDICATED,gas,103,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/03-nissan/6292208857.html
Civic EX 02 2Dr,2017-09-03 21:57,NOT INDICATED,2002,$1700,NOT INDICATED,gas,200000,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/civic-ex-02-2dr/6292208737.html
2014 TOYOTA CAMRY XLE,2017-09-03 21:56,toyota,2014,$16900,NOT INDICATED,gas,34500,4 cylinders,blue,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2014-toyota-camry-xle/6292208165.html
"1991 Volvo 940 SE, customized 118k miles",2017-09-03 21:56,volvo,1991,$1,NOT INDICATED,gas,118000,NOT INDICATED,NOT INDICATED,rebuilt,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1991-volvo-940-se-customized/6292208030.html
1990 lexus ls400,2017-09-03 21:55,lexus,1990,$1000,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1990-lexus-ls400/6271148066.html
2010 Chevrolet Camaro SS,2017-09-03 21:51,chevrolet,2010,$13500,NOT INDICATED,gas,116000,8 cylinders,NOT INDICATED,clean,automatic,coupe,https://sacramento.craigslist.org/cto/d/2010-chevrolet-camaro-ss/6292206117.html
1997 Ford Econoline E250,2017-09-03 21:50,ford,1997,NOT INDICATED,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1997-ford-econoline-e250/6279930272.html
2003 Toyota Tacoma 4x4 - Low Milage - Very Clean,2017-09-03 21:50,toyota,2003,$17500,NOT INDICATED,gas,97740,6 cylinders,NOT INDICATED,clean,automatic,truck,https://sacramento.craigslist.org/cto/d/2003-toyota-tacoma-4x4-low/6292205448.html
1930 Ford Model-A,2017-09-03 21:49,ford,1930,$15,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,truck,https://sacramento.craigslist.org/cto/d/1930-ford-model/6292205073.html
1951 STUDEBAKER RESTO-MOD,2017-09-03 21:48,studebaker,1951,$23000,G898I38,gas,50000,6 cylinders,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1951-studebaker-resto-mod/6275891834.html
2012 DODGE RAM 3500 DUALLY,2017-09-03 21:48,NOT INDICATED,2012,$29500,NOT INDICATED,diesel,138000,6 cylinders,black,rebuilt,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2012-dodge-ram-3500-dually/6288627231.html
1999 Toyota RAV4,2017-09-03 21:47,toyota,1999,$2775,NOT INDICATED,gas,335327,4 cylinders,black,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/1999-toyota-rav4/6267569082.html
Honda Accord 99,2017-09-03 21:47,honda,NOT INDICATED,$1900,NOT INDICATED,gas,135000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/honda-accord-99/6292204389.html
2016 chevrolet sonic,2017-09-03 21:47,chevrolet,2016,$10500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2016-chevrolet-sonic/6281835564.html
2005 Cadillac CTS,2017-09-03 21:46,cadillac,2005,$4600,NOT INDICATED,gas,161000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2005-cadillac-cts/6282306658.html
2016 chevy sonic,2017-09-03 21:46,chevy,2016,$8500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2016-chevy-sonic/6269161834.html
